,,Smart or nerdy or logical,"Skills or interest in STEM, works alone",Very focused or intense,"Socially awkward, few social interactions, introverted","Males, masculine interests (eg gaming) ","Glasses, pale, thin, unattractive",Type A/detail oriented,Coffee,Well dressed,Exercise,Tired/stressed,Business/startup,Race?,Back pain,Creative,Patient/relaxed
,stereotype_txt,Intelligent,Technology-oriented,Singularly focused on computers,Lacks interpersonal skills,Masculine,Physical traits,,,,,,,,,,
1,A person who uses computer science often would probably be wearing glasses and a Patagonia vest. They would enjoy playing video games or strategy games in their free time and probably work at a start-up. They're also pretty persistent and drink a lot of coffee.,,,1,,,1,,,,,,,,,,
2,"Skillful, Introverted, Smart (able to learn quickly), Wears glasses, Tired, Likes to watch TV",1,1,,,,1,,,,,,,,,,
3,"They would be not fit or athletic because they spend a lot of time sitting in front of a computer. They might wear glasses, and they might be bold. They would enjoy activities related to computers, to the virtual world (like gaming or anime), and to some tech stuff. They would also be very meticulous and logical because writing codes often requires logical thinking. ",1,1,,,1,1,1,,,,,,,,,
4,"I would guess that many who work in computer science are very different from an average stereotype of a computer-type desk job. They would be problem-solving, intelligent, individual, could be reserved but their personalities could vary depending on each person. Outside of their work, perhaps they have other fun hobbies such as hiking or traveling.",1,1,,1,,,,,,,,,,,,
5,"'- likely male
- interested in works involving problem solving 
- interested in STEM subjects
- may dislike people-oriented work
- may be more introverted",1,1,,1,1,,,,,,,,,,,
6,"When I think of the average person who uses computer science in their job I think of a tall and skinny/lean white male. He drinks a lot of coffee and enjoys watching sci-fi movies and biking. He is detailed oriented and the typically ""type A"" person who enjoys having control over most situations and is a perfectionists. ",,,,,1,1,1,,,,,,,,,
7,"the average person who uses computer science would likely be a very analytical thinker, with more of a difficult personality. it would be hard to get close to them and they might have a tough time with emotions. they would likely enjoy gaming and use a lot of discord. this person is more likely a guy but despite their gender, both are likely more stationary people and prefer more indoors than outdoors activities. they are also likely introverts.",1,,,1,1,,,,,,,,,,,
8,"I would picture them as independent and extremely intelligent. Maybe antisocial. Probably wearing glasses, and what most significantly comes to mind is a male. I would think they would enjoy STEM and research and probably exercising, since I picture those using computer science to be very ambitious.",1,1,,1,1,1,,,,,,,,,,
9,People who use computer science seem super smart and nerdy. I imagine them as a male. This person enjoys working with computers like video games or be into business. ,1,,,,1,,,,,,,,,,,
10,I definitely think those who frequently use computers must be independent. I see them as always working on something on a computer and not having much time to do other things. They prefer to be in a quiet atmosphere. They are very intelligent and most likely would also like to play video games seeing and they are good with computers. ,1,1,1,,1,,,,,,,,,,,
11,They probably wear glasses and don't put a lot of effort into how they dress. I think they enjoy gaming or some type of hobby like a sport. They can be socially adept but they will always have a slight awkwardness to them that doesn't go away. They're not Leos.,,,,1,1,1,,,,,,,,,,
12,"The person wears glasses and is not very social. He or she has an arched back and is tired most of the time, but is very smart.",1,,,1,,1,,,,,,,,,,
13,"For people that frequently use computer science as their job, I think I would characterize them as people who are intelligent, creative and love math. This person doesn't have a certain ""look"" to them in my mind. Though I think they would enjoy more left-brained activities. ",1,1,,,,,,,,,,,,,,
14,"I typically characterize people who frequently use computer science in their job as dull and boring but also very smart. However, I know this is not true as I have friends who are computer science majors and they are so fun and lively. I think I just picture this stereotype because sitting at a computer and doing math can be seen as boring but coding also takes a great amount of skill.",1,1,,1,,,,,,,,,,,,
15,"Although it is stereotypical, I would expect that average computer science user to be intelligent and introverted. I would expect them to enjoy activities that involve less social interaction such as video games and movies.",1,,,1,1,,,,,,,,,,,
16,"People who I think enjoy computer science are also mathematics, linguists, psychologists, into robotics, interested in technology, and video games. I visualize them wearing blue light glasses since they look at a computer screen often. They probably are stressed a lot of the times and drink a lot of coffee. I also visualize mostly males since it is a male dominated field. They probably enjoy watching Twitch Stream on their spare time and often complain about back pain from being hunched over. They are quick witted and have a sharp mind and they have above average pattern analyzing skills. ",1,1,,,1,1,,,,,,,,,,
17,I think the person would have a very detailed personality. They would like to be organized and prefer being well maintained and dressed appropriately. They usually would like mentally stimulating activities.,1,,,,,,1,,,,,,,,,
18,"They might be slightly condescending, but are very intelligent and trustworthy. They usually have glasses, sometimes not. They would enjoy playing video games, reading, and learning more about the world.",1,,,1,1,1,,,,,,,,,,
19,"I would say they are very smart, have glasses, not too social, and shy ",1,,,1,,1,,,,,,,,,,
20,In my opinion people who use computer science in their job are extremely smart. This person looks to me to have glasses and their shirt tucked into their pants. I feel that these people are quite and kind.,1,,,1,,1,,,,,,,,,,
21,"introverted, slouched, money-hungry, detail-oriented, ",,,,1,,,1,,,,,,,,,
22,"analytical, detail-oriented, homebody, wears hoodies, doesn't play sports",1,,,1,,1,1,,,,,,,,,
23,"Someone who participates in computer science may be more of a loner. Very academically driven. These are just stereotypes, computer science can be used in an abundance of ways. ",,1,,1,,,,,,,,,,,,
24,"I think people working in such a field are often characterized as hard-working, introverts with poor social skills, wearing glasses and other clichés...",,,1,1,,1,,,,,,,,,,
25,"I think that this type of person is more laid back and relaxed. This is because coding is something that takes a lot of time and repetition and I think you have to be okay with making mistakes. With this in mind, I think they are also used to having things just right as everything in coding is stagnant and constant. This person would most likely enjoy puzzles, crosswords, I spy, mystery games.",1,,,,,,1,,,,,,,,,
26,"I think people who use computer science are super quick thinkers and have really good typing skills. They also are good with numbers and organization. I also imagine them to be into video games, they maybe wear classes and are usually male.",1,1,,,1,1,1,,,,,,,,,
27,"Someone who frequently uses computer science in their job would definitely be good at math. They are individuals who have spent a majority of their lives working with computers and have taken coding classes in high school prior to college. I would characterize them as being quiet and calculative. Lastly, I do also consider them as very creative given the large possibilities of outcomes that coding can achieve. ",,1,,1,,,,,,,,,,,,
28,"I would thin that the average computer science user was either a little bit over weight or skinny. They would somehow be interested in ""nerdy"" things like computer games and gadgets and would of course be a very fast keyboard typer. All in all, this person would appear to be very smart.",1,1,,,1,1,,,,,,,,,,
29,This person is patient and pays attention to details. Perhaps they enjoy video games. ,,,,,1,,1,,,,,,,,,
30,,,,,,,,,,,,,,,,,
31,"I think a stereotypical characterization of someone who comes from a computer science background would be nerdy with glasses, plain attire, and a quiet or laidback personality. They would enjoy spending most of their time around the computer or other electronics.",1,1,,1,,1,,,,,,,,,,
32,"curious, logic-oriented, problem-solver, analytical, studious, probably asian, rock-climbing, programming, video games, baking",1,,1,,1,,,,,,,,1,,,
33,"nerds, smart, hard work, love reading books, not socialized",1,,1,1,,,,,,,,,,,,
34,"People who frequently use computer science on their job that first come to mind are probably smart, nerdy, wear glasses, boys, skinny, they wear button ups, play video games, wear blue and black, wear jeans with running shoes, backpacks with compartments, computer setup, ",1,1,,,1,1,,,,,,,,,,
35,I have always thought of people who could as very intelligent people. I also think of them as talented because it takes a lot of motivation and special skills to learn how to code. I think they would enjoy reading and coding in general.,1,1,,,,,,,,,,,,,,
36,"more reserved and quiet/shy, detail oriented, precise",,,,1,,,1,,,,,,,,,
37,"I typically would imagine a person who uses computer science in their job to be intelligent, alert to detail, disciplined, and skilled with computers. I might imagine that they would enjoy computers and therefore may build computers or play computer games in their free time. I would also imagine that they would enjoy typical hobbies such as hanging out with friends, playing sports, etc. I would also imagine the stereotypical computer science person to have glasses or contacts due to frequently looking at screens.",1,1,1,,1,1,1,,,,,,,,,
38,"In my mind, they are typically nerdy, reserved, introverted, spend a lot of time inside, not sociable, etc. ",1,,,1,,,,,,,,,,,,
