names,opts
time,[[0]]
progress,[[0]]
seconds,[[0]]
id,[[0]]
pre_interest_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_like_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_useful_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_relevant_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_r_att,"[[""Negative"",""Positive"",""Somewhat negative"",""Somewhat positie"",""Strongly negative""]]"
pre_r_att_txt,[[0]]
pre_enjoy_cs,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_learn_cs,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_course_cs,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_interest_cs,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_excite_cs,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_conf_cs,"[["""",""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
pre_conf_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
time_1,[[0]]
time_2,[[0]]
time_3,[[0]]
time_4,[[0]]
time_5,[[0]]
time_6,[[0]]
time_7,[[0]]
stereotype_txt,[[0]]
p_female,"[[""10"",""20"",""30"",""40"",""50""]]"
p_black,[[0]]
p_aapi,[[0]]
p_latino,[[0]]
p_white,[[0]]
p_other,[[0]]
switched,"[[""No"",""Yes""]]"
switch_txt,[[0]]
stay_txt,[[0]]
post_interest_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_like_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_useful_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_relevant_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
cs_xp,"[[""No"",""Yes""]]"
cs_course_txt,[[0]]
no_cs_course_txt,[[0]]
likely_cs_course,"[[""Likely"",""Somewhat likely"",""Somewhat unlikely"",""Unlikely"",""Very likely"",""Very unlikely""]]"
likely_cs_job,"[[""Likely"",""Somewhat likely"",""Somewhat unlikely"",""Unlikely"",""Very likely"",""Very unlikely""]]"
likely_self_learn,"[[""Likely"",""Somewhat likely"",""Somewhat unlikely"",""Unlikely"",""Very likely"",""Very unlikely""]]"
future_txt,[[0]]
post_r_att,"[[""Negative"",""Positive"",""Somewhat negative"",""Somewhat positive"",""Very negative"",""Very positive""]]"
post_r_att_txt,[[0]]
post_interest_cs,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_excite_cs,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_conf_cs,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_conf_act,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_belonging,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_difficult,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_opp_cost,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_stress,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
post_time_cost,"[[""Agree"",""Disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
